serial,color,color_fw,b1,b2,b3,b4,b7,device_type
2,YELLOW,7,7,83,2,0,39,2
1003,BLUE,3,3,195,235,3,201,2
1126,PURPLE,2,2,243,102,4,72,3
1126,YELLOW,7,7,194,102,4,18,2
1126,RED,9,9,241,102,4,53,2
1127,MAGENTA,1,1,39,103,4,224,2
1392,BLUE,3,3,4,112,5,171,2
2014,MAGENTA,1,1,172,222,7,165,2
2287,MAGENTA,1,1,30,239,8,70,2
2306,MAGENTA,1,1,49,2,9,73,2
5186,PURPLE,2,2,57,66,20,26,2
6048,PURPLE,2,2,43,160,23,152,2
6081,PURPLE,2,2,239,193,23,10,2
7551,ORANGE,8,8,9,127,29,253,2
7552,ORANGE,8,8,200,128,29,160,2
7583,ORANGE,8,8,222,159,29,162,2
